route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,direction_id,wheelchair_accessible,bikes_allowed
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_53,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_55,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_54,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_56,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_57,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_55,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_58,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_56,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_59,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_57,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_60,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_58,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_61,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_59,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_62,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_60,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_63,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_61,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_64,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_62,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_65,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_63,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_66,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_64,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_67,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_65,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_68,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_66,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_69,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_67,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_70,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_68,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_71,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_69,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_72,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_70,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_73,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_71,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_74,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_72,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_75,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_73,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_76,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_74,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_77,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_75,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_78,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_76,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_79,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_77,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_80,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_78,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_81,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_79,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_82,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_80,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_83,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_81,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_84,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_82,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_85,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_83,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_86,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_87,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_84,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_88,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_85,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_89,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_86,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_90,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_87,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_91,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_88,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_92,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_89,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_93,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_90,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_94,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_91,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_95,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_1,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_1,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_2,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_2,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_3,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_3,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_4,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_4,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_5,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_5,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_6,Armilla,,1,0,1,1
