id,nombre
585,"San Matias 1 V"
586,"San Matias 16"
587,"Paseo del Salón 11"
588,"Cabecera Linea 111"
589,"Avda. Dílar 33"
590,"Cabecera Línea 121"
600,"Alhambra"
602,"Fernando de los Ríos"
604,"Chana"
605,"Maria Goyri"
606,"Periodista Eduardo Fajardo I"
607,"Periodista Rafael Gómez Montero 3"
609,"Julio Moreno Dávila 19"
610,"Calle Pintor Chavarito I"
611,"Pedro Temboury 33"
612,"Monasterio Cartuja 2"
614,"Luis Miranda Dávalos 44"
615,"Palencia 6"
616,"Palencia 20"
617,"Palencia 19"
618,"Palencia 3"
619,"Avda. Cádiz 8"
623,"Pulianas Mercadillo"
624,"Avda.Barcelona 4"
625,"Avda.Barcelona 9"
626,"Av.Dilar 121"
627,"Cno. Real de los Neveros 137"
628,"Cno. Real de los Neveros 114"
629,"Paseo de la Bomba 1 I"
630,"Cuesta del Chapiz 60"
631,"Julio Moreno Dávila 6"
632,"Periodista Garcia Montero V"
633,"Calle Maria Goyri V"
634,"Camino de Ronda 11 V"
635,"Escultor P. Loyzaga"
636,"Av.Andalucía 11"
637,"Av. Ilustración 63"
638,"Av.  Ilustración 51"
639,"Av. Ilustración- Facultad Ciencias de la Salud"
640,"Avda. de la Ilustración 80"
641,"Avda de la Investigación-Hospital PTS"
642,"Avda. Innovación"
643,"Avda. Fuente Nueva"
644,"Profesor Clavera"
645,"Avda. Constitución 7"
646,"Beethoven"
647,"Pintor Fernando Belda 1"
648,"Actriz Fabiana Laura 20-CEIP Eugenia de Montijo"
649,"Pintor Fenando Belda"
650,"Pintor Fenando Belda"
651,"Padre Marcelino Alvarez 2"
652,"Pintor Fenando Belda"
653,"Avda. América 2"
654,"Plaza del Parque Nueva Granada"
655,"Ronda de Alfareros 18"
656,"Avda. Investigación"
657,"Avda. de la Ilustración 110"
658,"Hospital PTS-Hospitalización"
659,"Hospital PTS"
660,"Avda. Ilustración"
661,"Avda. Investigación"
662,"Carmen de Burgos 69"
663,"Avda. Conocimiento 41"
664,"Ribera del Beiro"
665,"Avda. Fuerzas Armadas 4"
667,"P. Marcelino Álvarez"
668,"Cno. Alfacar"
669,"Avda. Cádiz 12"
670,"Avda. Cádiz 24"
671,"Avda. Cádiz 70"
672,"Avda. Innovación"
673,"Avda. Cádiz 129"
674,"Avda. Cádiz 47"
675,"Avda. Cádiz 33"
676,"Avda. Cádiz 9"
677,"Aconcagua 8"
678,"Aconcagua  Fte 22"
679,"Aconcagua Fte 50"
680,"Aconcagua 58"
681,"Santo Sepulcro"
682,"Santo Sepulcro"
683,"Conde de Torrepalma 2"
684,"Calicasas"
685,"Juan Pablo II"
